uid,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,label
2232176973010,4.0,26.0,0.14754098360655735,7.0,3.0,35.0,25.0,0.0,151.0,21.0,24.0,151.0,58.0,0.0,0,72.0,6952.0,17.0,0,254.00029109799928,69.0,9.0,2.0,4.0,19368.0,12365.0,53.0,21.0,34.0,2.0,3.0,147.0,21.0,85.0,19.0,29031.0,79.0,29.0,184.0,51.0,,0.0,0.0,24.0,26.0,27.0,339.0,20.0,11.0,,0
2232266547791,1.0,2.0,0.13333333333333333,1.0,0.0,17.0,20.0,0.0,37.0,17.0,10.0,32.0,23.0,0.0,0,33.0,964.0,18.0,0,0.0,36.0,9.0,0.0,1.0,10558.0,3666.0,19.0,7.0,18.0,0.0,2.0,86.0,10.0,42.0,21.0,11954.0,21.0,19.0,0.0,51.0,,,1.0,24.0,4.0,27.0,68.0,17.0,5.0,,0
2232295962749,15.0,163.0,0.04225352112676056,13.0,4.0,45.0,30.0,0.007407407407407408,433.0,21.0,26.0,412.0,60.0,234.0,0,58.0,6833.0,22.0,0,145.57559762110688,49.0,31.0,1.0,13.0,9259.0,11142.0,3.0,14.0,35.0,2.0,10.0,233.0,19.0,62.0,21.0,21366.0,52.0,47.0,193.0,44.0,0.0,0.0,20.0,29.0,29.0,30.0,936.0,18.0,7.0,,0
2232381285193,1.0,53.0,0.2835820895522388,1.0,0.0,23.0,29.0,0.0071428571428571435,73.0,21.0,27.0,69.0,31.0,0.0,0,36.0,6736.0,22.0,0,9.760660208916192,30.0,20.0,0.0,10.0,12184.0,8891.0,8.0,15.0,29.0,0.0,4.0,169.0,17.0,39.0,21.0,25207.0,47.0,32.0,0.0,33.0,,0.0,1.0,30.0,30.0,30.0,135.0,16.0,6.0,,0
2232421683968,0.0,,0.0,0.0,0.0,31.0,21.0,0.006993006993006993,94.0,,,59.0,6.0,0.0,0,51.0,301.0,14.0,0,0.0,53.0,11.0,0.0,,445.0,,9.0,10.0,28.0,0.0,0.0,30.0,3.0,65.0,3.0,1039.0,70.0,5.0,0.0,21.0,,,,17.0,19.0,24.0,138.0,2.0,0.0,,0
2232446600133,6.0,46.0,0.0,11.0,0.0,61.0,29.0,0.006756756756756757,222.0,22.0,29.0,199.0,36.0,316.0,0,36.0,2070.0,22.0,0,0.0,53.0,20.0,5.0,6.0,43594.0,20650.0,15.0,8.0,24.0,3.0,0.0,199.0,7.0,60.0,22.0,6743.0,41.0,26.0,0.0,84.0,,0.0,0.0,29.0,27.0,30.0,294.0,22.0,10.0,,0
2232553233698,0.0,13.0,0.0379746835443038,0.0,0.0,26.0,17.0,0.004914004914004914,84.0,19.0,7.0,69.0,23.0,0.0,0,35.0,2211.0,22.0,0,0.0,54.0,10.0,0.0,2.0,7256.0,663.0,1040.0,10.0,25.0,0.0,1.0,119.0,4.0,57.0,21.0,8923.0,35.0,26.0,628.0,31.0,,0.0,0.0,30.0,24.0,29.0,143.0,18.0,3.0,,0
2232619644523,2.0,0.0,0.08333333333333333,7.0,1.0,25.0,17.0,0.0,75.0,2.0,0.0,67.0,19.0,0.0,0,30.0,0.0,17.0,0,0.0,31.0,5.0,0.0,0.0,5448.0,0.0,0.0,2.0,16.0,0.0,1.0,68.0,5.0,38.0,20.0,3298.0,27.0,12.0,0.0,31.0,,,0.0,21.0,9.0,22.0,109.0,17.0,5.0,,0
2232619644523,0.0,,0.0,2.0,0.0,12.0,12.0,0.0,27.0,,,21.0,13.0,0.0,0,20.0,430.0,9.0,0,0.0,24.0,6.0,0.0,,2031.0,,72.0,1.0,5.0,1.0,0.0,18.0,1.0,29.0,9.0,2004.0,17.0,5.0,0.0,16.0,0.0,,,12.0,0.0,19.0,30.0,2.0,0.0,,0
2232675166892,2.0,2.0,0.21052631578947367,4.0,0.0,13.0,19.0,0.0,79.0,5.0,5.0,42.0,25.0,0.0,0,24.0,425.0,14.0,0,81.55687259968707,25.0,5.0,0.0,2.0,3552.0,1014.0,1.0,5.0,18.0,1.0,2.0,75.0,6.0,32.0,21.0,5637.0,33.0,26.0,228.0,27.0,,,0.0,21.0,17.0,28.0,93.0,12.0,1.0,,0
